agent_id,agent_name,total_requests,total_success,total_failures,unknown_status,success_rate,failure_rate,unknown_rate
a8ba10ff-371b-45a0-9ae4-71cf91d85f46,Elena,49,41,8,0,83.67,16.33,0.0
c55c6474-7c68-44a3-aa13-a9ac9effc3b1,Isabelle Martin,49,36,13,0,73.47,26.53,0.0
117fb827-6865-44a1-8346-22f9fb4a867c,Maeve,42,36,6,0,85.71,14.29,0.0
8e92a5c7-3e85-45e4-9830-cde188112d70,Sofia,32,8,24,0,25.0,75.0,0.0
b9b400b9-201c-45ae-93b0-6912f8234e49,Londyn,32,24,8,0,75.0,25.0,0.0
78dc5750-dab4-49fd-9d8f-e34554c5466a,Ember Ottey,30,16,14,0,53.33,46.67,0.0
223f560f-9652-466e-b5e3-0002525ab80b,Valentina,25,20,5,0,80.0,20.0,0.0
5a2eff30-13ca-4a66-8f23-0fef6d7f42b7,Lifeguard Brayden,25,7,18,0,28.0,72.0,0.0
24c9f301-e9bf-430a-9366-f355e48abb19,Svetlana Bondarenko,23,2,21,0,8.7,91.3,0.0
5eac2ed5-59d2-4748-9350-9e33368ec377,Lorelai,22,12,10,0,54.55,45.45,0.0
b4403f1f-e3e1-4485-861c-87f0e5cc37f6,Karen Nikki,21,13,8,0,61.9,38.1,0.0
ed355085-385b-4296-aad4-58357cb108fa,Fernanda,20,17,3,0,85.0,15.0,0.0
726fdfd7-e48b-4424-a397-99fe7719b714,Peyton,18,14,4,0,77.78,22.22,0.0
633d5c1e-7ed0-4afa-8880-57f76dca86c4,Cowgirl Wendy,17,8,9,0,47.06,52.94,0.0
e1bad0d9-800c-477c-9b95-30d8a6b45935,Teacher Maria,17,17,0,0,100.0,0.0,0.0
d560932d-9e4e-4d9c-861b-8641829eed22,Palmer,16,16,0,0,100.0,0.0,0.0
4221a4be-a116-4320-b23f-4ce062f53f0a,Lily,15,12,3,0,80.0,20.0,0.0
87dab061-5176-441f-89dd-75cff86cff45,Veronica Colas,15,6,9,0,40.0,60.0,0.0
04f688fa-31c9-4f2f-90b7-6a6657199ade,Remington,14,13,1,0,92.86,7.14,0.0
06b9d332-f328-4be5-86e0-4a5ef347e34a,Liz Korn,13,6,7,0,46.15,53.85,0.0
e9174891-7961-49ec-b870-7ac5b0ea4c3c,Ahsoka Tano ,12,9,3,0,75.0,25.0,0.0
4653a16d-2e49-4ff8-a35b-fdf67fed6f84,Summer Diaz,12,2,10,0,16.67,83.33,0.0
4ab8e6dc-410e-4929-af03-1e681f91fc0e,Kehlani,12,3,9,0,25.0,75.0,0.0
0291efe5-92fb-41b3-83a3-e97aaaa1dbcc,Chloe,11,5,6,0,45.45,54.55,0.0
2260ac15-60d0-490c-aa75-1c3c3b8632d6,Gabriella,11,11,0,0,100.0,0.0,0.0
df9e2223-1298-4f40-93f2-da84e1b0feab,Anita Zale,11,11,0,0,100.0,0.0,0.0
47d7a419-8f3b-4087-8f10-0509230c2b99,Catalina,11,8,3,0,72.73,27.27,0.0
cbe958e0-3b20-41ee-a280-814d4115fa8e,Mai Shiranui ,11,5,6,0,45.45,54.55,0.0
876fe368-546c-4d1d-ad7a-63d8def30a37,Tris,10,10,0,0,100.0,0.0,0.0
4b49226a-9fef-4cc3-b851-664c38bb3b72,Isleana ,10,9,1,0,90.0,10.0,0.0
ba88511f-cbe0-40a5-9a0f-01b23b9248ad,Juliet,8,5,3,0,62.5,37.5,0.0
cc472ad3-6dd2-4163-aa6f-72b130e4b10f,Svetlana,8,3,5,0,37.5,62.5,0.0
545b3b67-ea60-45ae-b952-b57cb118344e,Test ,8,0,8,0,0.0,100.0,0.0
1150fc90-eb9c-4312-8637-1cfa6ae82554,Sakura Hitoshi,8,6,2,0,75.0,25.0,0.0
2da8c51d-0917-4225-84b3-42a7988fb912,Magnolia,8,2,6,0,25.0,75.0,0.0
d41bb28e-448c-45d5-81f4-b11657b19686,Eliana,8,8,0,0,100.0,0.0,0.0
e995549a-163b-4f08-ad81-ed0bef5f85f5,Sister Olive,7,7,0,0,100.0,0.0,0.0
398e618b-67c3-417f-a6ff-4a6ace5246fa,Alice Barrow,7,7,0,0,100.0,0.0,0.0
0ae2c65e-62ba-453d-a63d-04e76f98b5bf,Lia,7,5,2,0,71.43,28.57,0.0
88aa3d1e-134a-43eb-a5ee-f7cd471c2c92,Luna Vance,7,2,5,0,28.57,71.43,0.0
ffde3961-2e87-4392-9cf9-fe108bc5cd62,Cherie Miller,6,0,6,0,0.0,100.0,0.0
0dc6df9e-d1cf-4d1c-8b9e-e3a65e8d2b80,DJ Viola,6,1,5,0,16.67,83.33,0.0
1e11b812-8f49-4396-9ce5-49fb00ad9b08,Adriana,6,1,5,0,16.67,83.33,0.0
38c0d0d0-8713-4154-8df6-74926273d2bd,Aurora Moore,6,6,0,0,100.0,0.0,0.0
58b16fc3-e3cf-4404-bca1-121ae5049e32,Clara Roberts,6,6,0,0,100.0,0.0,0.0
5e5d25d4-5d03-452c-96f0-c192ecdeb87a,Chloe Camplin,6,6,0,0,100.0,0.0,0.0
75c44d8e-1f40-40a4-8c8f-ebf6f687409c,Brittany Ames,6,0,6,0,0.0,100.0,0.0
79f3a0ba-2787-41a7-830e-e30cd01b236e,Elara Jane,6,0,6,0,0.0,100.0,0.0
948c89cb-f10f-4b4e-8c09-dc1ae363ba79,Alani,6,6,0,0,100.0,0.0,0.0
a30b3448-d308-40ef-bfeb-92d6db7a3246,Molly Gonzalez,6,6,0,0,100.0,0.0,0.0
d51ee5ce-ed43-4074-bec4-c05e2ada76ff,Emily,6,6,0,0,100.0,0.0,0.0
d7ce76bb-d4ee-474e-9f39-ee1f8f320a5e,Vicky,6,5,1,0,83.33,16.67,0.0
e4cbc6d8-4a3e-425a-ac47-232f9d030ebb,Alora,6,6,0,0,100.0,0.0,0.0
ad94dde7-f5ca-41f3-9cf1-c9cd1eab7b8d,Everleigh,5,5,0,0,100.0,0.0,0.0
7eb73ae0-0002-4cac-86d7-10d9921f9a80,Amber Stone,5,5,0,0,100.0,0.0,0.0
b941701a-414f-4bb1-8131-c5afb0544360,baby ,5,5,0,0,100.0,0.0,0.0
5e91dba4-3400-4e86-8f92-0968114edc48,baby ,5,5,0,0,100.0,0.0,0.0
