utilization_ratio,instruction_count,placement_profile,trials,ia_mean,ia_ci_low,ia_ci_high,rsr,rsr_ci_low,rsr_ci_high,effectiveness_mean,effectiveness_ci_low,effectiveness_ci_high,semantic_ia_mean,semantic_ia_ci_low,semantic_ia_ci_high,semantic_rsr,semantic_rsr_ci_low,semantic_rsr_ci_high,semantic_effectiveness_mean,semantic_effectiveness_ci_low,semantic_effectiveness_ci_high,semantic_format_error_rate,format_error_rate,error_rate,median_latency_ms
0.1,16,uniform,30,0.9333333333333333,0.7867618227892791,0.9815233646723066,0.9333333333333333,0.7867618227892791,0.9815233646723066,0.9333333333333333,0.8333333333333334,1.0,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.06666666666666667,0.0,1496.1986194830388
0.1,16,edges,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1392.6470739825163
0.25,16,uniform,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1646.7302215169184
0.25,16,edges,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.9,1.0,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.9,1.0,0.03333333333333333,0.03333333333333333,0.0,1628.1593820021953
0.4,16,uniform,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.9,1.0,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.03333333333333333,0.0,1640.916461503366
0.4,16,edges,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1565.5110144871287
0.55,16,uniform,30,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.7333333333333333,0.5666666666666667,0.8666666666666667,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.26666666666666666,0.0,1826.9860860018525
0.55,16,edges,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.9,1.0,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.03333333333333333,0.0,1612.7173959976062
0.7,16,uniform,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.9,1.0,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.03333333333333333,0.0,1867.1112010197248
0.7,16,edges,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9666666666666667,0.8666666666666667,1.0,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.03333333333333333,0.0,1630.6137015344575
0.8,16,uniform,30,0.8666666666666667,0.7031831605558306,0.9469043057578189,0.8666666666666667,0.7031831605558306,0.9469043057578189,0.8666666666666667,0.7333333333333333,0.9666666666666667,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.13333333333333333,0.0,1889.0403450059239
0.8,16,edges,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2642.3092234763317
0.87,16,uniform,30,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.8333333333333334,0.7,0.9666666666666667,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.0,1802.8481185028795
